nombre,apodo,profesion,categoria
gonzalo martner fanta,N/A,profesor universitario;licenciado;doctor en ciencias economicas,ciencia
mahfud massis,mahfud massis,escritor;poeta,literatura
juan antonio massone del campo,N/A,escritor;profesor,literatura
tito matamala aburto,N/A,periodista;escritor;dibujante;profesor universitario,literatura
manuel antonio matta,N/A,abogado,N/A
armand mattelart,N/A,sociologo;academico;escritor,literatura
alejandra marcela matus acuna,N/A,periodista;biografa;escritora,literatura
jose toribio medina,N/A,abogado;biografo;historiador,N/A
domingo melfi demarco,N/A,periodista;escritor,literatura
jose maria memet,N/A,poeta;productor,literatura
alejandra mora soto,N/A,biogeografo;geografa,N/A
erik bongcamrudloff,N/A,biologo;ingeniero,N/A
juan bruggen messtorff,N/A,geologo;escritor;catedratico,literatura
adriano castillo,N/A,politico;actor,politica
carlos conca,N/A,ingeniero;matematico,N/A
marcela contreras arriagada,N/A,inmunologa;hematologa;medica;cirujana;escritora,literatura
rene angel cortazar sagarminaga,N/A,agronomo;profesor,ciencia
rosa noemi deves alessandri,N/A,bioquimica;profesora de universidad;educadora,ciencia
ignacio domeyko,N/A,cientifico;profesor,ciencia
eduardo i. faundez,N/A,entomologo,N/A
carlos ghigliotto salas,N/A,quimico;toxicologo;investigador;catedratico,ciencia
eric goles,N/A,matematico;informatico teorico,N/A
andres gomberoff,N/A,fisico teorico;docente;escritor;divulgador cientifico,literatura
luis gomberoff,N/A,academico;investigador,ciencia
hyppolite janvier,claude joseph,cientifico;entomologo,ciencia
jose miguel aguilera,N/A,ingeniero civil industrial,N/A
edgar kausel,N/A,cientifico,ciencia
miguel german kiwi tichauer,N/A,fisico;academico;ingeniero mecanico,ciencia
pedro labarca prado,N/A,biofisico,N/A
sergio lavandero,N/A,farmaceutico;bioquimico,N/A
matias luis libedinsky silva,N/A,rabino;fisico,N/A
joaquin luco valenzuela,N/A,medico;cientifico;cirujano,ciencia
servet martinez aguilera,N/A,matematico,N/A
luis nunez vergara,N/A,quimico farmaceutico;academico;investigador,ciencia
carlos emilio porter mosso,N/A,botanico,N/A
romilio espejo torres,N/A,cientifico,ciencia
arturo edmundo salazar valencia,N/A,fisico;profesor;inventor,ciencia
juan serapio lois,N/A,filosofo;periodista;politico;cirujano;profesor,politica
claudia stange,N/A,bioquimica,N/A
enrique tirapegui zurbano,N/A,fisico,N/A
jose toha castella,N/A,medico;cientifico,ciencia
tito ureta aravena,N/A,bioquimico;escritor;medico,literatura
maria antonieta valenzuela,N/A,cientifica,N/A
pablo de tarso rafael antonio valenzuela valdes,N/A,bioquimico;empresario,negocios
carlos von plessing baentsch,N/A,quimico,N/A
klaus von storch kruger,N/A,ingeniero de aviacion;piloto de aviacion;ingeniero;militar;cientifico,ciencia
jaime zipper,N/A,medico cirujano,N/A
juan pablo aboitiz,N/A,ingeniero civil;empresario,negocios
